orig_image,mask_image
images\ch2_20230309202847_20230309212847@016973.bmp,masks\ch2_20230309202847_20230309212847@016973.bmp
images\ch2_20230309202847_20230309212847@017962.bmp,masks\ch2_20230309202847_20230309212847@017962.bmp
images\ch2_20230309202847_20230309212847@022399.bmp,masks\ch2_20230309202847_20230309212847@022399.bmp
images\ch2_20230309202847_20230309212847@022412.bmp,masks\ch2_20230309202847_20230309212847@022412.bmp
images\ch2_20230309202847_20230309212847@022592.bmp,masks\ch2_20230309202847_20230309212847@022592.bmp
images\ch2_20230309202847_20230309212847@026110.bmp,masks\ch2_20230309202847_20230309212847@026110.bmp
images\ch2_20230309202847_20230309212847@032051.bmp,masks\ch2_20230309202847_20230309212847@032051.bmp
images\ch2_20230309202847_20230309212847@032407.bmp,masks\ch2_20230309202847_20230309212847@032407.bmp
images\ch2_20230309202847_20230309212847@033795.bmp,masks\ch2_20230309202847_20230309212847@033795.bmp
images\ch2_20230309202847_20230309212847@035534.bmp,masks\ch2_20230309202847_20230309212847@035534.bmp
images\ch2_20230309202847_20230309212847@053050.bmp,masks\ch2_20230309202847_20230309212847@053050.bmp
images\ch2_20230309202847_20230309212847@054073.bmp,masks\ch2_20230309202847_20230309212847@054073.bmp
images\ch2_20230309202847_20230309212847@054349.bmp,masks\ch2_20230309202847_20230309212847@054349.bmp
images\ch2_20230523180211_20230523190211@000030.bmp,masks\ch2_20230523180211_20230523190211@000030.bmp
images\ch2_20230523180211_20230523190211@000192.bmp,masks\ch2_20230523180211_20230523190211@000192.bmp
images\ch2_20230523180211_20230523190211@001481.bmp,masks\ch2_20230523180211_20230523190211@001481.bmp
images\ch2_20230523180211_20230523190211@001876.bmp,masks\ch2_20230523180211_20230523190211@001876.bmp
images\ch2_20230523180211_20230523190211@002322.bmp,masks\ch2_20230523180211_20230523190211@002322.bmp
images\ch2_20230523180211_20230523190211@003063.bmp,masks\ch2_20230523180211_20230523190211@003063.bmp
images\ch3_20221228193446_20221228203446@001851.bmp,masks\ch3_20221228193446_20221228203446@001851.bmp
images\ch3_20221228193446_20221228203446@004998.bmp,masks\ch3_20221228193446_20221228203446@004998.bmp
images\ch3_20221228193446_20221228203446@010737.bmp,masks\ch3_20221228193446_20221228203446@010737.bmp
images\ch3_20221228193446_20221228203446@017402.bmp,masks\ch3_20221228193446_20221228203446@017402.bmp
images\ch3_20221228193446_20221228203446@026844.bmp,masks\ch3_20221228193446_20221228203446@026844.bmp
images\ch3_20221228193446_20221228203446@029436.bmp,masks\ch3_20221228193446_20221228203446@029436.bmp
images\ch3_20221228193446_20221228203446@029991.bmp,masks\ch3_20221228193446_20221228203446@029991.bmp
images\ch3_20221228193446_20221228203446@035545.bmp,masks\ch3_20221228193446_20221228203446@035545.bmp
images\ch3_20221228193446_20221228203446@038137.bmp,masks\ch3_20221228193446_20221228203446@038137.bmp
images\ch3_20221228193446_20221228203446@054799.bmp,masks\ch3_20221228193446_20221228203446@054799.bmp
images\ch3_20221228193446_20221228203446@069054.bmp,masks\ch3_20221228193446_20221228203446@069054.bmp
images\ch3_20221228193446_20221228203446@075163.bmp,masks\ch3_20221228193446_20221228203446@075163.bmp
images\ch3_20221228193446_20221228203446@079792.bmp,masks\ch3_20221228193446_20221228203446@079792.bmp
images\ch3_20221228193446_20221228203446@086456.bmp,masks\ch3_20221228193446_20221228203446@086456.bmp
images\ch3_20221228193446_20221228203446@091640.bmp,masks\ch3_20221228193446_20221228203446@091640.bmp
images\ch3_20221228193446_20221228203446@113116.bmp,masks\ch3_20221228193446_20221228203446@113116.bmp
images\ch3_20221228193446_20221228203446@118299.bmp,masks\ch3_20221228193446_20221228203446@118299.bmp
images\ch3_20221229073446_20221229083446_@004722.bmp,masks\ch3_20221229073446_20221229083446_@004722.bmp
images\ch3_20221229073446_20221229083446_@009721.bmp,masks\ch3_20221229073446_20221229083446_@009721.bmp
images\ch3_20221229073446_20221229083446_@010925.bmp,masks\ch3_20221229073446_20221229083446_@010925.bmp
images\ch3_20221229073446_20221229083446_@032776.bmp,masks\ch3_20221229073446_20221229083446_@032776.bmp
images\ch3_20221229073446_20221229083446_@034059.bmp,masks\ch3_20221229073446_20221229083446_@034059.bmp
images\ch3_20221229073446_20221229083446_@051850.bmp,masks\ch3_20221229073446_20221229083446_@051850.bmp
images\ch3_20221229073446_20221229083446_@052035.bmp,masks\ch3_20221229073446_20221229083446_@052035.bmp
images\ch3_20221229073446_20221229083446_@052127.bmp,masks\ch3_20221229073446_20221229083446_@052127.bmp
images\ch3_20221229073446_20221229083446_@052405.bmp,masks\ch3_20221229073446_20221229083446_@052405.bmp
images\ch3_20221229073446_20221229083446_@052590.bmp,masks\ch3_20221229073446_20221229083446_@052590.bmp
images\ch3_20221229073446_20221229083446_@053701.bmp,masks\ch3_20221229073446_20221229083446_@053701.bmp
images\ch3_20221229073446_20221229083446_@053794.bmp,masks\ch3_20221229073446_20221229083446_@053794.bmp
images\ch3_20221229073446_20221229083446_@054164.bmp,masks\ch3_20221229073446_20221229083446_@054164.bmp
images\ch3_20221229073446_20221229083446_@054350.bmp,masks\ch3_20221229073446_20221229083446_@054350.bmp
images\ch3_20221229073446_20221229083446_@062960.bmp,masks\ch3_20221229073446_20221229083446_@062960.bmp
images\ch3_20221229073446_20221229083446_@085274.bmp,masks\ch3_20221229073446_20221229083446_@085274.bmp
images\ch3_20221229073446_20221229083446_@085552.bmp,masks\ch3_20221229073446_20221229083446_@085552.bmp
images\ch3_20230228192817_20230228202817@000401.bmp,masks\ch3_20230228192817_20230228202817@000401.bmp
images\ch3_20230228192817_20230228202817@002088.bmp,masks\ch3_20230228192817_20230228202817@002088.bmp
images\ch3_20230228192817_20230228202817@003425.bmp,masks\ch3_20230228192817_20230228202817@003425.bmp
images\ch3_20230228192817_20230228202817@004304.bmp,masks\ch3_20230228192817_20230228202817@004304.bmp
images\ch3_20230228192817_20230228202817@005598.bmp,masks\ch3_20230228192817_20230228202817@005598.bmp
images\ch3_20230228192817_20230228202817@005829.bmp,masks\ch3_20230228192817_20230228202817@005829.bmp
images\ch3_20230228192817_20230228202817@007399.bmp,masks\ch3_20230228192817_20230228202817@007399.bmp
images\ch3_20230228192817_20230228202817@010391.bmp,masks\ch3_20230228192817_20230228202817@010391.bmp
images\ch3_20230228192817_20230228202817@012215.bmp,masks\ch3_20230228192817_20230228202817@012215.bmp
images\ch3_20230228192817_20230228202817@015646.bmp,masks\ch3_20230228192817_20230228202817@015646.bmp
images\ch3_20230228192817_20230228202817@022990.bmp,masks\ch3_20230228192817_20230228202817@022990.bmp
images\ch3_20230228192817_20230228202817@031593.bmp,masks\ch3_20230228192817_20230228202817@031593.bmp
images\ch3_20230228192817_20230228202817@031683.bmp,masks\ch3_20230228192817_20230228202817@031683.bmp
images\ch3_20230228192817_20230228202817@035136.bmp,masks\ch3_20230228192817_20230228202817@035136.bmp
images\ch3_20230228192817_20230228202817@035166.bmp,masks\ch3_20230228192817_20230228202817@035166.bmp
images\ch3_20230228192817_20230228202817@038251.bmp,masks\ch3_20230228192817_20230228202817@038251.bmp
images\ch3_20230228192817_20230228202817@044846.bmp,masks\ch3_20230228192817_20230228202817@044846.bmp
images\ch3_20230228192817_20230228202817@048874.bmp,masks\ch3_20230228192817_20230228202817@048874.bmp
images\ch3_20230228192817_20230228202817@049563.bmp,masks\ch3_20230228192817_20230228202817@049563.bmp
images\ch3_20230228192817_20230228202817@050406.bmp,masks\ch3_20230228192817_20230228202817@050406.bmp
images\ch3_20230228192817_20230228202817@050880.bmp,masks\ch3_20230228192817_20230228202817@050880.bmp
images\ch3_20230228192817_20230228202817@084706.bmp,masks\ch3_20230228192817_20230228202817@084706.bmp
images\ch3_20230228192817_20230228202817@085592.bmp,masks\ch3_20230228192817_20230228202817@085592.bmp
images\ch3_20230228192817_20230228202817@086342.bmp,masks\ch3_20230228192817_20230228202817@086342.bmp
images\ch3_20230228192817_20230228202817@089333.bmp,masks\ch3_20230228192817_20230228202817@089333.bmp
images\ch3_20230309202847_20230309212847@001759.bmp,masks\ch3_20230309202847_20230309212847@001759.bmp
images\ch3_20230309202847_20230309212847@018514.bmp,masks\ch3_20230309202847_20230309212847@018514.bmp
images\ch3_20230309202847_20230309212847@020833.bmp,masks\ch3_20230309202847_20230309212847@020833.bmp
images\ch3_20230309202847_20230309212847@021942.bmp,masks\ch3_20230309202847_20230309212847@021942.bmp
images\ch3_20230309202847_20230309212847@022054.bmp,masks\ch3_20230309202847_20230309212847@022054.bmp
images\ch3_20230309202847_20230309212847@022222.bmp,masks\ch3_20230309202847_20230309212847@022222.bmp
images\ch3_20230309202847_20230309212847@024164.bmp,masks\ch3_20230309202847_20230309212847@024164.bmp
images\ch3_20230309202847_20230309212847@029107.bmp,masks\ch3_20230309202847_20230309212847@029107.bmp
images\ch3_20230309202847_20230309212847@029816.bmp,masks\ch3_20230309202847_20230309212847@029816.bmp
images\ch3_20230309202847_20230309212847@031486.bmp,masks\ch3_20230309202847_20230309212847@031486.bmp
images\ch3_20230309202847_20230309212847@034629.bmp,masks\ch3_20230309202847_20230309212847@034629.bmp
images\ch3_20230309202847_20230309212847@035464.bmp,masks\ch3_20230309202847_20230309212847@035464.bmp
images\ch3_20230309202847_20230309212847@075591.bmp,masks\ch3_20230309202847_20230309212847@075591.bmp
images\ch3_20230309202847_20230309212847@077692.bmp,masks\ch3_20230309202847_20230309212847@077692.bmp
images\ch3_20230309202847_20230309212847@077878.bmp,masks\ch3_20230309202847_20230309212847@077878.bmp
images\ch3_20230309202847_20230309212847@077961.bmp,masks\ch3_20230309202847_20230309212847@077961.bmp
images\ch3_20230309202847_20230309212847@078222.bmp,masks\ch3_20230309202847_20230309212847@078222.bmp
images\ch3_20230309202847_20230309212847@078497.bmp,masks\ch3_20230309202847_20230309212847@078497.bmp
images\ch4_20230309202847_20230309212847@000092.bmp,masks\ch4_20230309202847_20230309212847@000092.bmp
images\ch4_20230309202847_20230309212847@000191.bmp,masks\ch4_20230309202847_20230309212847@000191.bmp
images\ch4_20230309202847_20230309212847@000732.bmp,masks\ch4_20230309202847_20230309212847@000732.bmp
images\ch4_20230309202847_20230309212847@000921.bmp,masks\ch4_20230309202847_20230309212847@000921.bmp
images\ch4_20230309202847_20230309212847@009817.bmp,masks\ch4_20230309202847_20230309212847@009817.bmp
images\ch4_20230309202847_20230309212847@010000.bmp,masks\ch4_20230309202847_20230309212847@010000.bmp
images\ch4_20230309202847_20230309212847@010275.bmp,masks\ch4_20230309202847_20230309212847@010275.bmp
images\ch4_20230309202847_20230309212847@010553.bmp,masks\ch4_20230309202847_20230309212847@010553.bmp
images\ch4_20230309202847_20230309212847@013149.bmp,masks\ch4_20230309202847_20230309212847@013149.bmp
images\ch4_20230309202847_20230309212847@013704.bmp,masks\ch4_20230309202847_20230309212847@013704.bmp
images\ch4_20230309202847_20230309212847@014074.bmp,masks\ch4_20230309202847_20230309212847@014074.bmp
images\ch5_20221228193446_20221228203446@001296.bmp,masks\ch5_20221228193446_20221228203446@001296.bmp
images\ch5_20221228193446_20221228203446@003333.bmp,masks\ch5_20221228193446_20221228203446@003333.bmp
images\ch5_20221228193446_20221228203446@006851.bmp,masks\ch5_20221228193446_20221228203446@006851.bmp
images\ch5_20221228193446_20221228203446@007962.bmp,masks\ch5_20221228193446_20221228203446@007962.bmp
images\ch5_20221228193446_20221228203446@009259.bmp,masks\ch5_20221228193446_20221228203446@009259.bmp
images\ch5_20221228193446_20221228203446@011666.bmp,masks\ch5_20221228193446_20221228203446@011666.bmp
images\ch5_20221228193446_20221228203446@012592.bmp,masks\ch5_20221228193446_20221228203446@012592.bmp
images\ch5_20221228193446_20221228203446@015187.bmp,masks\ch5_20221228193446_20221228203446@015187.bmp
images\ch5_20221228193446_20221228203446@016666.bmp,masks\ch5_20221228193446_20221228203446@016666.bmp
images\ch5_20221228193446_20221228203446@018888.bmp,masks\ch5_20221228193446_20221228203446@018888.bmp
images\ch5_20221228193446_20221228203446@022407.bmp,masks\ch5_20221228193446_20221228203446@022407.bmp
images\ch5_20221228193446_20221228203446@025184.bmp,masks\ch5_20221228193446_20221228203446@025184.bmp
images\ch5_20221228193446_20221228203446@029258.bmp,masks\ch5_20221228193446_20221228203446@029258.bmp
images\ch5_20221228193446_20221228203446@037557.bmp,masks\ch5_20221228193446_20221228203446@037557.bmp
images\ch5_20221228193446_20221228203446@037592.bmp,masks\ch5_20221228193446_20221228203446@037592.bmp
images\ch5_20221228193446_20221228203446@039261.bmp,masks\ch5_20221228193446_20221228203446@039261.bmp
images\ch5_20221228193446_20221228203446@045740.bmp,masks\ch5_20221228193446_20221228203446@045740.bmp
images\ch5_20221228193446_20221228203446@047406.bmp,masks\ch5_20221228193446_20221228203446@047406.bmp
images\ch5_20221228193446_20221228203446@049443.bmp,masks\ch5_20221228193446_20221228203446@049443.bmp
images\ch5_20221228193446_20221228203446@050554.bmp,masks\ch5_20221228193446_20221228203446@050554.bmp
images\ch5_20221228193446_20221228203446@057036.bmp,masks\ch5_20221228193446_20221228203446@057036.bmp
images\ch5_20221228193446_20221228203446@061110.bmp,masks\ch5_20221228193446_20221228203446@061110.bmp
images\ch5_20221228193446_20221228203446@067591.bmp,masks\ch5_20221228193446_20221228203446@067591.bmp
images\ch5_20221228193446_20221228203446@074813.bmp,masks\ch5_20221228193446_20221228203446@074813.bmp
images\ch5_20221228193446_20221228203446@076665.bmp,masks\ch5_20221228193446_20221228203446@076665.bmp
images\ch5_20221228193446_20221228203446@078888.bmp,masks\ch5_20221228193446_20221228203446@078888.bmp
images\ch5_20221228193446_20221228203446@088147.bmp,masks\ch5_20221228193446_20221228203446@088147.bmp
images\ch5_20221228193446_20221228203446@090738.bmp,masks\ch5_20221228193446_20221228203446@090738.bmp
images\ch5_20221228193446_20221228203446@141136.bmp,masks\ch5_20221228193446_20221228203446@141136.bmp
images\ch5_20221228193446_20221228203446@155210.bmp,masks\ch5_20221228193446_20221228203446@155210.bmp
images\ch5_20221228233446_20221229003446_@001851.bmp,masks\ch5_20221228233446_20221229003446_@001851.bmp
images\ch5_20221228233446_20221229003446_@005740.bmp,masks\ch5_20221228233446_20221229003446_@005740.bmp
images\ch5_20221228233446_20221229003446_@013518.bmp,masks\ch5_20221228233446_20221229003446_@013518.bmp
images\ch5_20221228233446_20221229003446_@014999.bmp,masks\ch5_20221228233446_20221229003446_@014999.bmp
images\ch5_20221228233446_20221229003446_@015369.bmp,masks\ch5_20221228233446_20221229003446_@015369.bmp
images\ch5_20221228233446_20221229003446_@016480.bmp,masks\ch5_20221228233446_20221229003446_@016480.bmp
images\ch5_20221228233446_20221229003446_@016851.bmp,masks\ch5_20221228233446_20221229003446_@016851.bmp
images\ch5_20221228233446_20221229003446_@017962.bmp,masks\ch5_20221228233446_20221229003446_@017962.bmp
images\ch5_20221228233446_20221229003446_@018888.bmp,masks\ch5_20221228233446_20221229003446_@018888.bmp
images\ch5_20221228233446_20221229003446_@020184.bmp,masks\ch5_20221228233446_20221229003446_@020184.bmp
images\ch5_20221228233446_20221229003446_@023147.bmp,masks\ch5_20221228233446_20221229003446_@023147.bmp
images\ch5_20221228233446_20221229003446_@026480.bmp,masks\ch5_20221228233446_20221229003446_@026480.bmp
images\ch5_20221228233446_20221229003446_@027313.bmp,masks\ch5_20221228233446_20221229003446_@027313.bmp
images\ch5_20221228233446_20221229003446_@029906.bmp,masks\ch5_20221228233446_20221229003446_@029906.bmp
images\ch5_20221228233446_20221229003446_@032313.bmp,masks\ch5_20221228233446_20221229003446_@032313.bmp
images\ch5_20221228233446_20221229003446_@033609.bmp,masks\ch5_20221228233446_20221229003446_@033609.bmp
images\ch5_20230309202847_20230309212847@000024.bmp,masks\ch5_20230309202847_20230309212847@000024.bmp
images\ch5_20230309202847_20230309212847@002633.bmp,masks\ch5_20230309202847_20230309212847@002633.bmp
images\ch5_20230309202847_20230309212847@004081.bmp,masks\ch5_20230309202847_20230309212847@004081.bmp
images\ch5_20230309202847_20230309212847@006846.bmp,masks\ch5_20230309202847_20230309212847@006846.bmp
images\ch5_20230309202847_20230309212847@007036.bmp,masks\ch5_20230309202847_20230309212847@007036.bmp
images\ch5_20230309202847_20230309212847@007708.bmp,masks\ch5_20230309202847_20230309212847@007708.bmp
images\ch5_20230309202847_20230309212847@013615.bmp,masks\ch5_20230309202847_20230309212847@013615.bmp
images\ch5_20230309202847_20230309212847@021483.bmp,masks\ch5_20230309202847_20230309212847@021483.bmp
images\ch5_20230309202847_20230309212847@021765.bmp,masks\ch5_20230309202847_20230309212847@021765.bmp
images\ch5_20230309202847_20230309212847@022041.bmp,masks\ch5_20230309202847_20230309212847@022041.bmp
images\ch5_20230309202847_20230309212847@031295.bmp,masks\ch5_20230309202847_20230309212847@031295.bmp
images\ch5_20230309202847_20230309212847@037684.bmp,masks\ch5_20230309202847_20230309212847@037684.bmp
images\ch5_20230309202847_20230309212847@039814.bmp,masks\ch5_20230309202847_20230309212847@039814.bmp
images\ch5_20230309202847_20230309212847@040331.bmp,masks\ch5_20230309202847_20230309212847@040331.bmp
images\ch6_20221228193446_20221228203446@005555.bmp,masks\ch6_20221228193446_20221228203446@005555.bmp
images\ch6_20221228193446_20221228203446@007036.bmp,masks\ch6_20221228193446_20221228203446@007036.bmp
images\ch6_20221228193446_20221228203446@008333.bmp,masks\ch6_20221228193446_20221228203446@008333.bmp
images\ch6_20221228193446_20221228203446@008888.bmp,masks\ch6_20221228193446_20221228203446@008888.bmp
images\ch6_20221228193446_20221228203446@011684.bmp,masks\ch6_20221228193446_20221228203446@011684.bmp
images\ch6_20221228193446_20221228203446@013518.bmp,masks\ch6_20221228193446_20221228203446@013518.bmp
images\ch6_20221228193446_20221228203446@014814.bmp,masks\ch6_20221228193446_20221228203446@014814.bmp
images\ch6_20221228193446_20221228203446@021296.bmp,masks\ch6_20221228193446_20221228203446@021296.bmp
images\ch6_20221228193446_20221228203446@047985.bmp,masks\ch6_20221228193446_20221228203446@047985.bmp
images\ch6_20221228193446_20221228203446@050555.bmp,masks\ch6_20221228193446_20221228203446@050555.bmp
images\ch6_20221228193446_20221228203446@051858.bmp,masks\ch6_20221228193446_20221228203446@051858.bmp
images\ch6_20221228193446_20221228203446@053518.bmp,masks\ch6_20221228193446_20221228203446@053518.bmp
images\ch6_20221228193446_20221228203446@056110.bmp,masks\ch6_20221228193446_20221228203446@056110.bmp
images\ch6_20221228193446_20221228203446@056685.bmp,masks\ch6_20221228193446_20221228203446@056685.bmp
images\ch6_20221228193446_20221228203446@057592.bmp,masks\ch6_20221228193446_20221228203446@057592.bmp
images\ch6_20221228193446_20221228203446@058163.bmp,masks\ch6_20221228193446_20221228203446@058163.bmp
images\ch6_20221228193446_20221228203446@062592.bmp,masks\ch6_20221228193446_20221228203446@062592.bmp
images\ch6_20221228193446_20221228203446@068332.bmp,masks\ch6_20221228193446_20221228203446@068332.bmp
images\ch6_20221228193446_20221228203446@070555.bmp,masks\ch6_20221228193446_20221228203446@070555.bmp
images\ch6_20221228193446_20221228203446@074258.bmp,masks\ch6_20221228193446_20221228203446@074258.bmp
images\ch6_20221228193446_20221228203446@088156.bmp,masks\ch6_20221228193446_20221228203446@088156.bmp
images\ch6_20221228193446_20221228203446@089443.bmp,masks\ch6_20221228193446_20221228203446@089443.bmp
images\ch6_20221228193446_20221228203446@113538.bmp,masks\ch6_20221228193446_20221228203446@113538.bmp
images\ch6_20221228193446_20221228203446@115554.bmp,masks\ch6_20221228193446_20221228203446@115554.bmp
images\ch6_20221229083446_20221229093446_@002592.bmp,masks\ch6_20221229083446_20221229093446_@002592.bmp
images\ch6_20221229083446_20221229093446_@004351.bmp,masks\ch6_20221229083446_20221229093446_@004351.bmp
images\ch6_20221229083446_20221229093446_@006851.bmp,masks\ch6_20221229083446_20221229093446_@006851.bmp
images\ch6_20221229083446_20221229093446_@013795.bmp,masks\ch6_20221229083446_20221229093446_@013795.bmp
images\ch6_20221229083446_20221229093446_@013980.bmp,masks\ch6_20221229083446_20221229093446_@013980.bmp
images\ch6_20221229083446_20221229093446_@014536.bmp,masks\ch6_20221229083446_20221229093446_@014536.bmp
images\ch6_20221229083446_20221229093446_@016388.bmp,masks\ch6_20221229083446_20221229093446_@016388.bmp
images\ch6_20221229083446_20221229093446_@033610.bmp,masks\ch6_20221229083446_20221229093446_@033610.bmp
images\ch6_20221229083446_20221229093446_@033980.bmp,masks\ch6_20221229083446_20221229093446_@033980.bmp
images\ch6_20221229083446_20221229093446_@070091.bmp,masks\ch6_20221229083446_20221229093446_@070091.bmp
images\ch6_20230309202847_20230309212847@002870.bmp,masks\ch6_20230309202847_20230309212847@002870.bmp
images\ch6_20230309202847_20230309212847@004923.bmp,masks\ch6_20230309202847_20230309212847@004923.bmp
images\ch6_20230309202847_20230309212847@006574.bmp,masks\ch6_20230309202847_20230309212847@006574.bmp
images\ch6_20230309202847_20230309212847@009054.bmp,masks\ch6_20230309202847_20230309212847@009054.bmp
images\ch6_20230309202847_20230309212847@013610.bmp,masks\ch6_20230309202847_20230309212847@013610.bmp
images\ch6_20230309202847_20230309212847@016798.bmp,masks\ch6_20230309202847_20230309212847@016798.bmp
images\ch6_20230309202847_20230309212847@022314.bmp,masks\ch6_20230309202847_20230309212847@022314.bmp
images\ch7_20221228193446_20221228203446@011848.bmp,masks\ch7_20221228193446_20221228203446@011848.bmp
images\ch7_20221228193446_20221228203446@017402.bmp,masks\ch7_20221228193446_20221228203446@017402.bmp
images\ch7_20221228193446_20221228203446@023696.bmp,masks\ch7_20221228193446_20221228203446@023696.bmp
images\ch7_20221228193446_20221228203446@032583.bmp,masks\ch7_20221228193446_20221228203446@032583.bmp
images\ch7_20221228193446_20221228203446@033509.bmp,masks\ch7_20221228193446_20221228203446@033509.bmp
images\ch7_20221228193446_20221228203446@044802.bmp,masks\ch7_20221228193446_20221228203446@044802.bmp
images\ch7_20221228193446_20221228203446@055354.bmp,masks\ch7_20221228193446_20221228203446@055354.bmp
images\ch7_20221228193446_20221228203446@057946.bmp,masks\ch7_20221228193446_20221228203446@057946.bmp
images\ch7_20221228193446_20221228203446@074238.bmp,masks\ch7_20221228193446_20221228203446@074238.bmp
images\ch7_20221228193446_20221228203446@077940.bmp,masks\ch7_20221228193446_20221228203446@077940.bmp
images\ch7_20221228193446_20221228203446@084235.bmp,masks\ch7_20221228193446_20221228203446@084235.bmp
images\ch7_20221228193446_20221228203446@088308.bmp,masks\ch7_20221228193446_20221228203446@088308.bmp
images\ch7_20221228193446_20221228203446@091455.bmp,masks\ch7_20221228193446_20221228203446@091455.bmp
images\ch7_20221228193446_20221228203446@117003.bmp,masks\ch7_20221228193446_20221228203446@117003.bmp
images\ch7_20221228193446_20221228203446@122557.bmp,masks\ch7_20221228193446_20221228203446@122557.bmp
images\ch7_20221228193446_20221228203446@124409.bmp,masks\ch7_20221228193446_20221228203446@124409.bmp
images\ch7_20221228193446_20221228203446@139960.bmp,masks\ch7_20221228193446_20221228203446@139960.bmp
images\ch7_20221228193446_20221228203446_@000833.bmp,masks\ch7_20221228193446_20221228203446_@000833.bmp
images\ch7_20221228193446_20221228203446_@001203.bmp,masks\ch7_20221228193446_20221228203446_@001203.bmp
images\ch7_20221228193446_20221228203446_@008978.bmp,masks\ch7_20221228193446_20221228203446_@008978.bmp
images\ch7_20221228193446_20221228203446_@010274.bmp,masks\ch7_20221228193446_20221228203446_@010274.bmp
images\ch7_20221228193446_20221228203446_@012033.bmp,masks\ch7_20221228193446_20221228203446_@012033.bmp
images\ch7_20221228193446_20221228203446_@014254.bmp,masks\ch7_20221228193446_20221228203446_@014254.bmp
images\ch7_20221228193446_20221228203446_@022493.bmp,masks\ch7_20221228193446_20221228203446_@022493.bmp
images\ch7_20221228193446_20221228203446_@024992.bmp,masks\ch7_20221228193446_20221228203446_@024992.bmp
images\ch7_20221228193446_20221228203446_@025640.bmp,masks\ch7_20221228193446_20221228203446_@025640.bmp
images\ch7_20221228193446_20221228203446_@028972.bmp,masks\ch7_20221228193446_20221228203446_@028972.bmp
images\ch7_20221228193446_20221228203446_@030268.bmp,masks\ch7_20221228193446_20221228203446_@030268.bmp
images\ch7_20221228193446_20221228203446_@036470.bmp,masks\ch7_20221228193446_20221228203446_@036470.bmp
images\ch7_20221228193446_20221228203446_@038599.bmp,masks\ch7_20221228193446_20221228203446_@038599.bmp
images\ch7_20221228193446_20221228203446_@041838.bmp,masks\ch7_20221228193446_20221228203446_@041838.bmp
images\ch7_20221228193446_20221228203446_@046281.bmp,masks\ch7_20221228193446_20221228203446_@046281.bmp
images\ch7_20221228193446_20221228203446_@048133.bmp,masks\ch7_20221228193446_20221228203446_@048133.bmp
images\ch7_20221228193446_20221228203446_@055445.bmp,masks\ch7_20221228193446_20221228203446_@055445.bmp
images\ch7_20221228193446_20221228203446_@059703.bmp,masks\ch7_20221228193446_20221228203446_@059703.bmp
images\ch7_20221228193446_20221228203446_@061832.bmp,masks\ch7_20221228193446_20221228203446_@061832.bmp
images\ch7_20221228193446_20221228203446_@065072.bmp,masks\ch7_20221228193446_20221228203446_@065072.bmp
images\ch7_20221228193446_20221228203446_@068312.bmp,masks\ch7_20221228193446_20221228203446_@068312.bmp
images\ch7_20221228193446_20221228203446_@083770.bmp,masks\ch7_20221228193446_20221228203446_@083770.bmp
images\ch7_20221229033446_20221229043446_@004813.bmp,masks\ch7_20221229033446_20221229043446_@004813.bmp
images\ch7_20221229033446_20221229043446_@005461.bmp,masks\ch7_20221229033446_20221229043446_@005461.bmp
images\ch7_20221229033446_20221229043446_@010182.bmp,masks\ch7_20221229033446_20221229043446_@010182.bmp
images\ch7_20221229033446_20221229043446_@014810.bmp,masks\ch7_20221229033446_20221229043446_@014810.bmp
images\ch7_20221229033446_20221229043446_@017217.bmp,masks\ch7_20221229033446_20221229043446_@017217.bmp
images\ch7_20221229033446_20221229043446_@019253.bmp,masks\ch7_20221229033446_20221229043446_@019253.bmp
images\ch7_20221229033446_20221229043446_@056094.bmp,masks\ch7_20221229033446_20221229043446_@056094.bmp
images\ch7_20230309202847_20230309212847@000652.bmp,masks\ch7_20230309202847_20230309212847@000652.bmp
images\ch7_20230309202847_20230309212847@004170.bmp,masks\ch7_20230309202847_20230309212847@004170.bmp
images\ch7_20230309202847_20230309212847@004722.bmp,masks\ch7_20230309202847_20230309212847@004722.bmp
images\ch7_20230309202847_20230309212847@013090.bmp,masks\ch7_20230309202847_20230309212847@013090.bmp
images\ch7_20230309202847_20230309212847@019086.bmp,masks\ch7_20230309202847_20230309212847@019086.bmp
images\ch7_20230309202847_20230309212847@019814.bmp,masks\ch7_20230309202847_20230309212847@019814.bmp
images\ch7_20230309202847_20230309212847@021495.bmp,masks\ch7_20230309202847_20230309212847@021495.bmp
images\ch7_20230309202847_20230309212847@023610.bmp,masks\ch7_20230309202847_20230309212847@023610.bmp
images\ch7_20230309202847_20230309212847@032335.bmp,masks\ch7_20230309202847_20230309212847@032335.bmp
images\ch8_20221229103446_20221229113446_@040913.bmp,masks\ch8_20221229103446_20221229113446_@040913.bmp
images\ch8_20221229103446_20221229113446_@041098.bmp,masks\ch8_20221229103446_20221229113446_@041098.bmp
images\ch8_20221229103446_20221229113446_@041561.bmp,masks\ch8_20221229103446_20221229113446_@041561.bmp
images\ch8_20221229103446_20221229113446_@053316.bmp,masks\ch8_20221229103446_20221229113446_@053316.bmp
images\ch8_20221229103446_20221229113446_@086084.bmp,masks\ch8_20221229103446_20221229113446_@086084.bmp
images\ch8_20221229173446_20221229183446@000000.bmp,masks\ch8_20221229173446_20221229183446@000000.bmp
images\ch8_20221229173446_20221229183446@000058.bmp,masks\ch8_20221229173446_20221229183446@000058.bmp
images\ch8_20221229173446_20221229183446@000084.bmp,masks\ch8_20221229173446_20221229183446@000084.bmp
